Column1;Column2
9.023174892;-79.53152206
9.023169064;-79.53152742
9.02316224;-79.5315337
9.023155459;-79.53153993
9.023147681;-79.53154709
9.023140857;-79.53155337
9.023133036;-79.53156056
9.023125171;-79.5315678
9.023118347;-79.53157407
9.023112021;-79.53157989
9.023104742;-79.53158659
9.023098957;-79.53159191
9.023092176;-79.53159815
9.023084355;-79.53160534
9.023077032;-79.53161208
9.023070251;-79.53161832
9.023061932;-79.53162597
9.023054653;-79.53163267
9.023047915;-79.53163887
9.023040137;-79.53164602
9.02303236;-79.53165317
9.023025081;-79.53165987
9.023018798;-79.53166565
9.023010435;-79.53167334
9.023002614;-79.53168054
9.022994295;-79.53168819
9.022986517;-79.53169535
9.022979238;-79.53170204
9.022973497;-79.53170732
9.022965676;-79.53171452
9.022957855;-79.53172171
9.022948453;-79.53173036
9.022939093;-79.53173897
9.022930818;-79.53174659
9.022923127;-79.53175366
9.022915847;-79.53176036
9.022907572;-79.53176797
9.022900791;-79.53177421
9.022895049;-79.53177949
9.022893468;-79.53178094
9.022892926;-79.53178144
9.02289193;-79.53178236
