14, 78, 17, 79
23, 65, 30, 74
27, 55, 37, 68
31, 46, 43, 62
33, 44, 46, 61
34, 42, 48, 61
34, 40, 49, 59
36, 40, 50, 60
34, 38, 49, 57
34, 37, 50, 57
34, 37, 50, 57
33, 35, 50, 54
34, 34, 51, 53
34, 33, 52, 53
35, 32, 53, 53
36, 31, 53, 53
36, 31, 54, 52
37, 30, 55, 52
37, 29, 55, 51
36, 28, 55, 50
34, 26, 54, 47
33, 26, 53, 46
33, 26, 53, 46
32, 26, 52, 45
31, 26, 51, 44
29, 26, 50, 43
29, 26, 49, 43
28, 27, 48, 43
28, 27, 48, 43
27, 28, 47, 44
27, 28, 47, 44
26, 29, 46, 44
25, 29, 45, 43
24, 29, 44, 42
23, 29, 43, 42
21, 29, 42, 40
20, 30, 41, 40
19, 29, 40, 39
18, 29, 39, 38
16, 29, 37, 37
15, 29, 36, 36
13, 29, 35, 35
5, 11, 25, 5
11, 7, 22, 1
12, 6, 21, 3
15, 5, 19, 5
16, 5, 18, 6
19, 4, 16, 9
20, 4, 15, 10
23, 2, 13, 14
25, 2, 11, 15
29, 0, 9, 19
31, 0, 8, 22
31, 0, 8, 22
33, 0, 6, 23
34, 0, 5, 24
34, 0, 5, 24
36, 0, 3, 25
37, 0, 2, 25
38, 0, 1, 26
40, 0, 0, 27
41, 0, 0, 28
41, 0, 0, 28
42, 0, 1, 29
43, 0, 2, 29
44, 0, 3, 30
45, 0, 4, 30
46, 1, 5, 31
47, 1, 6, 31
48, 1, 6, 32
49, 1, 7, 33
